array_index,prompt_id,family_id,family_name,case_id,variant,expected_outcome,outcome_positive,outcome_negative,numeric_direction,future_presentation_order,option_free_stem,complete_answer_code_prompt
36,dislocation-density-strength--copper-1e14-1e12--anchor--answer-code,dislocation-density-strength,Dislocation density and flow strength,copper-1e14-1e12,anchor,higher,higher,lower,increase,positive-first,"A high-purity copper specimen changes dislocation density from 1e12 per square meter to 1e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity copper specimen changes dislocation density from 1e12 per square meter to 1e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
37,dislocation-density-strength--copper-1e14-1e12--physics_paraphrase--answer-code,dislocation-density-strength,Dislocation density and flow strength,copper-1e14-1e12,physics_paraphrase,higher,higher,lower,increase,positive-first,"In the same high-purity copper, line-defect content rises from 1 per square micrometer to 100 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress.","In the same high-purity copper, line-defect content rises from 1 per square micrometer to 100 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
38,dislocation-density-strength--copper-1e14-1e12--lexical_counterfactual--answer-code,dislocation-density-strength,Dislocation density and flow strength,copper-1e14-1e12,lexical_counterfactual,lower,higher,lower,decrease,positive-first,"A high-purity copper specimen changes dislocation density from 1e14 per square meter to 1e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity copper specimen changes dislocation density from 1e14 per square meter to 1e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
39,dislocation-density-strength--aluminum-8e13-8e11--anchor--answer-code,dislocation-density-strength,Dislocation density and flow strength,aluminum-8e13-8e11,anchor,lower,higher,lower,decrease,negative-first,"A high-purity aluminum specimen changes dislocation density from 8e13 per square meter to 8e11 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity aluminum specimen changes dislocation density from 8e13 per square meter to 8e11 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
40,dislocation-density-strength--aluminum-8e13-8e11--physics_paraphrase--answer-code,dislocation-density-strength,Dislocation density and flow strength,aluminum-8e13-8e11,physics_paraphrase,lower,higher,lower,decrease,negative-first,"In the same high-purity aluminum, line-defect content falls from 80 per square micrometer to 0.8 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress.","In the same high-purity aluminum, line-defect content falls from 80 per square micrometer to 0.8 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
41,dislocation-density-strength--aluminum-8e13-8e11--lexical_counterfactual--answer-code,dislocation-density-strength,Dislocation density and flow strength,aluminum-8e13-8e11,lexical_counterfactual,higher,higher,lower,increase,negative-first,"A high-purity aluminum specimen changes dislocation density from 8e11 per square meter to 8e13 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity aluminum specimen changes dislocation density from 8e11 per square meter to 8e13 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
42,dislocation-density-strength--nickel-5e14-5e12--anchor--answer-code,dislocation-density-strength,Dislocation density and flow strength,nickel-5e14-5e12,anchor,higher,higher,lower,increase,positive-first,"A nickel specimen changes dislocation density from 5e12 per square meter to 5e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A nickel specimen changes dislocation density from 5e12 per square meter to 5e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
43,dislocation-density-strength--nickel-5e14-5e12--physics_paraphrase--answer-code,dislocation-density-strength,Dislocation density and flow strength,nickel-5e14-5e12,physics_paraphrase,higher,higher,lower,increase,positive-first,"In the same nickel, line-defect content rises from 5 per square micrometer to 500 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress.","In the same nickel, line-defect content rises from 5 per square micrometer to 500 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
44,dislocation-density-strength--nickel-5e14-5e12--lexical_counterfactual--answer-code,dislocation-density-strength,Dislocation density and flow strength,nickel-5e14-5e12,lexical_counterfactual,lower,higher,lower,decrease,positive-first,"A nickel specimen changes dislocation density from 5e14 per square meter to 5e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A nickel specimen changes dislocation density from 5e14 per square meter to 5e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
45,dislocation-density-strength--ferritic-steel-2e14-2e12--anchor--answer-code,dislocation-density-strength,Dislocation density and flow strength,ferritic-steel-2e14-2e12,anchor,lower,higher,lower,decrease,negative-first,"A ferritic steel specimen changes dislocation density from 2e14 per square meter to 2e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A ferritic steel specimen changes dislocation density from 2e14 per square meter to 2e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
46,dislocation-density-strength--ferritic-steel-2e14-2e12--physics_paraphrase--answer-code,dislocation-density-strength,Dislocation density and flow strength,ferritic-steel-2e14-2e12,physics_paraphrase,lower,higher,lower,decrease,negative-first,"In the same ferritic steel, line-defect content falls from 200 per square micrometer to 2 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress.","In the same ferritic steel, line-defect content falls from 200 per square micrometer to 2 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
47,dislocation-density-strength--ferritic-steel-2e14-2e12--lexical_counterfactual--answer-code,dislocation-density-strength,Dislocation density and flow strength,ferritic-steel-2e14-2e12,lexical_counterfactual,higher,higher,lower,increase,negative-first,"A ferritic steel specimen changes dislocation density from 2e12 per square meter to 2e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A ferritic steel specimen changes dislocation density from 2e12 per square meter to 2e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
48,particle-fraction-modulus--aluminum-sic-30-10--anchor--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,aluminum-sic-30-10,anchor,greater,greater,smaller,increase,positive-first,"A aluminum-matrix composite changes from 10 percent to 30 percent silicon-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A aluminum-matrix composite changes from 10 percent to 30 percent silicon-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output A; if it is smaller, output B. Answer exactly one uppercase letter: A or B."
49,particle-fraction-modulus--aluminum-sic-30-10--physics_paraphrase--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,aluminum-sic-30-10,physics_paraphrase,greater,greater,smaller,increase,positive-first,"In the same aluminum-matrix, the fraction of stiff silicon-carbide reinforcement grows from 0.1 to 0.3 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness.","In the same aluminum-matrix, the fraction of stiff silicon-carbide reinforcement grows from 0.1 to 0.3 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
50,particle-fraction-modulus--aluminum-sic-30-10--lexical_counterfactual--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,aluminum-sic-30-10,lexical_counterfactual,smaller,greater,smaller,decrease,positive-first,"A aluminum-matrix composite changes from 30 percent to 10 percent silicon-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A aluminum-matrix composite changes from 30 percent to 10 percent silicon-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
51,particle-fraction-modulus--magnesium-alumina-24-8--anchor--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,magnesium-alumina-24-8,anchor,smaller,greater,smaller,decrease,negative-first,"A magnesium-matrix composite changes from 24 percent to 8 percent alumina particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A magnesium-matrix composite changes from 24 percent to 8 percent alumina particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output A; if it is greater, output B. Answer exactly one uppercase letter: A or B."
52,particle-fraction-modulus--magnesium-alumina-24-8--physics_paraphrase--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,magnesium-alumina-24-8,physics_paraphrase,smaller,greater,smaller,decrease,negative-first,"In the same magnesium-matrix, the fraction of stiff alumina reinforcement shrinks from 0.24 to 0.08 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness.","In the same magnesium-matrix, the fraction of stiff alumina reinforcement shrinks from 0.24 to 0.08 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
53,particle-fraction-modulus--magnesium-alumina-24-8--lexical_counterfactual--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,magnesium-alumina-24-8,lexical_counterfactual,greater,greater,smaller,increase,negative-first,"A magnesium-matrix composite changes from 8 percent to 24 percent alumina particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A magnesium-matrix composite changes from 8 percent to 24 percent alumina particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
54,particle-fraction-modulus--nickel-wc-18-6--anchor--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,nickel-wc-18-6,anchor,greater,greater,smaller,increase,positive-first,"A nickel-matrix composite changes from 6 percent to 18 percent tungsten-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A nickel-matrix composite changes from 6 percent to 18 percent tungsten-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output A; if it is smaller, output B. Answer exactly one uppercase letter: A or B."
55,particle-fraction-modulus--nickel-wc-18-6--physics_paraphrase--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,nickel-wc-18-6,physics_paraphrase,greater,greater,smaller,increase,positive-first,"In the same nickel-matrix, the fraction of stiff tungsten-carbide reinforcement grows from 0.06 to 0.18 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness.","In the same nickel-matrix, the fraction of stiff tungsten-carbide reinforcement grows from 0.06 to 0.18 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
56,particle-fraction-modulus--nickel-wc-18-6--lexical_counterfactual--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,nickel-wc-18-6,lexical_counterfactual,smaller,greater,smaller,decrease,positive-first,"A nickel-matrix composite changes from 18 percent to 6 percent tungsten-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A nickel-matrix composite changes from 18 percent to 6 percent tungsten-carbide particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
57,particle-fraction-modulus--epoxy-silica-36-12--anchor--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,epoxy-silica-36-12,anchor,smaller,greater,smaller,decrease,negative-first,"A epoxy-matrix composite changes from 36 percent to 12 percent silica particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A epoxy-matrix composite changes from 36 percent to 12 percent silica particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output A; if it is greater, output B. Answer exactly one uppercase letter: A or B."
58,particle-fraction-modulus--epoxy-silica-36-12--physics_paraphrase--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,epoxy-silica-36-12,physics_paraphrase,smaller,greater,smaller,decrease,negative-first,"In the same epoxy-matrix, the fraction of stiff silica reinforcement shrinks from 0.36 to 0.12 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness.","In the same epoxy-matrix, the fraction of stiff silica reinforcement shrinks from 0.36 to 0.12 of total volume. Matrix, particle geometry, distribution, void content, bonding, and load axis are unchanged. Select the trend in composite stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
59,particle-fraction-modulus--epoxy-silica-36-12--lexical_counterfactual--answer-code,particle-fraction-modulus,Stiff-particle fraction and modulus,epoxy-silica-36-12,lexical_counterfactual,greater,greater,smaller,increase,negative-first,"A epoxy-matrix composite changes from 12 percent to 36 percent silica particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus?","A epoxy-matrix composite changes from 12 percent to 36 percent silica particle volume fraction while matrix composition, particle size, dispersion, porosity, interface quality, and loading direction remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
60,crosslink-density-modulus--natural-rubber-800-200--anchor--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,natural-rubber-800-200,anchor,greater,greater,smaller,increase,positive-first,"A natural-rubber network changes crosslink density from 200 moles per cubic meter to 800 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A natural-rubber network changes crosslink density from 200 moles per cubic meter to 800 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output A; if it is smaller, output B. Answer exactly one uppercase letter: A or B."
61,crosslink-density-modulus--natural-rubber-800-200--physics_paraphrase--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,natural-rubber-800-200,physics_paraphrase,greater,greater,smaller,increase,positive-first,"For the same natural-rubber, the number of elastically active network junctions increases from 0.2 moles per liter to 0.8 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness.","For the same natural-rubber, the number of elastically active network junctions increases from 0.2 moles per liter to 0.8 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
62,crosslink-density-modulus--natural-rubber-800-200--lexical_counterfactual--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,natural-rubber-800-200,lexical_counterfactual,smaller,greater,smaller,decrease,positive-first,"A natural-rubber network changes crosslink density from 800 moles per cubic meter to 200 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A natural-rubber network changes crosslink density from 800 moles per cubic meter to 200 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
63,crosslink-density-modulus--silicone-600-150--anchor--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,silicone-600-150,anchor,smaller,greater,smaller,decrease,negative-first,"A silicone-elastomer network changes crosslink density from 600 moles per cubic meter to 150 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A silicone-elastomer network changes crosslink density from 600 moles per cubic meter to 150 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output A; if it is greater, output B. Answer exactly one uppercase letter: A or B."
64,crosslink-density-modulus--silicone-600-150--physics_paraphrase--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,silicone-600-150,physics_paraphrase,smaller,greater,smaller,decrease,negative-first,"For the same silicone-elastomer, the number of elastically active network junctions decreases from 0.6 moles per liter to 0.15 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness.","For the same silicone-elastomer, the number of elastically active network junctions decreases from 0.6 moles per liter to 0.15 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
65,crosslink-density-modulus--silicone-600-150--lexical_counterfactual--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,silicone-600-150,lexical_counterfactual,greater,greater,smaller,increase,negative-first,"A silicone-elastomer network changes crosslink density from 150 moles per cubic meter to 600 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A silicone-elastomer network changes crosslink density from 150 moles per cubic meter to 600 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
66,crosslink-density-modulus--polyurethane-1000-250--anchor--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,polyurethane-1000-250,anchor,greater,greater,smaller,increase,positive-first,"A polyurethane-elastomer network changes crosslink density from 250 moles per cubic meter to 1000 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A polyurethane-elastomer network changes crosslink density from 250 moles per cubic meter to 1000 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output A; if it is smaller, output B. Answer exactly one uppercase letter: A or B."
67,crosslink-density-modulus--polyurethane-1000-250--physics_paraphrase--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,polyurethane-1000-250,physics_paraphrase,greater,greater,smaller,increase,positive-first,"For the same polyurethane-elastomer, the number of elastically active network junctions increases from 0.25 moles per liter to 1 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness.","For the same polyurethane-elastomer, the number of elastically active network junctions increases from 0.25 moles per liter to 1 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
68,crosslink-density-modulus--polyurethane-1000-250--lexical_counterfactual--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,polyurethane-1000-250,lexical_counterfactual,smaller,greater,smaller,decrease,positive-first,"A polyurethane-elastomer network changes crosslink density from 1000 moles per cubic meter to 250 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A polyurethane-elastomer network changes crosslink density from 1000 moles per cubic meter to 250 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
69,crosslink-density-modulus--epdm-720-180--anchor--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,epdm-720-180,anchor,smaller,greater,smaller,decrease,negative-first,"A EPDM-elastomer network changes crosslink density from 720 moles per cubic meter to 180 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A EPDM-elastomer network changes crosslink density from 720 moles per cubic meter to 180 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output A; if it is greater, output B. Answer exactly one uppercase letter: A or B."
70,crosslink-density-modulus--epdm-720-180--physics_paraphrase--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,epdm-720-180,physics_paraphrase,smaller,greater,smaller,decrease,negative-first,"For the same EPDM-elastomer, the number of elastically active network junctions decreases from 0.72 moles per liter to 0.18 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness.","For the same EPDM-elastomer, the number of elastically active network junctions decreases from 0.72 moles per liter to 0.18 moles per liter. Thermal state, polymer chemistry, fillers, order, and loading rate do not change. Select the trend in small-strain network stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
71,crosslink-density-modulus--epdm-720-180--lexical_counterfactual--answer-code,crosslink-density-modulus,Crosslink density and rubbery modulus,epdm-720-180,lexical_counterfactual,greater,greater,smaller,increase,negative-first,"A EPDM-elastomer network changes crosslink density from 180 moles per cubic meter to 720 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus?","A EPDM-elastomer network changes crosslink density from 180 moles per cubic meter to 720 moles per cubic meter while temperature, chain chemistry, filler content, crystallinity, and strain rate remain fixed. What happens to rubbery shear modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
